,Estimator,Search,Time,Preprocessing
636,DTR,original,0.00249600410461,imput
637,SVR,original,0.00262689590454,imput
638,RFR,original,0.301218986511,imput
639,DTR,original,0.00183987617493,imput
640,SVR,original,0.00127196311951,imput
641,RFR,original,0.298229932785,imput
642,DTR,original,0.00177621841431,imput
643,SVR,original,0.000891923904419,imput
644,RFR,original,0.291939973831,imput
645,DTR,original,0.00353503227234,imput
646,SVR,original,0.00383615493774,imput
647,RFR,original,0.298849105835,imput
648,DTR,original,0.0019199848175,imput
649,DTR,original,0.00206017494202,imput
650,DTR,original,0.00338101387024,imput
651,DTR,original,0.00223898887634,imput
652,SVR,original,0.00207495689392,imput
653,RFR,original,0.291733026505,imput
654,DTR,original,0.00446391105652,imput
655,SVR,original,0.00241303443909,imput
656,RFR,original,0.292178869247,imput
657,DTR,original,0.00281310081482,imput
658,SVR,original,0.003751039505,imput
659,RFR,original,0.298571825027,imput
660,DTR,original,0.00368714332581,imput
661,SVR,original,0.00302696228027,imput
662,RFR,original,0.306877851486,imput
663,DTR,original,0.00363707542419,imput
664,DTR,original,0.00247406959534,imput
665,DTR,original,0.0034339427948,imput
666,SVR,original,0.00242519378662,imput
667,RFR,original,0.327682971954,imput
668,DTR,original,0.00291395187378,imput
669,DTR,original,0.00475406646729,imput
670,DTR,original,0.00239086151123,imput
671,DTR,original,0.00335502624512,imput
672,SVR,original,0.00425505638123,imput
673,RFR,original,0.297071933746,imput
674,DTR,original,0.00234198570251,imput
675,DTR,original,0.00241684913635,imput
676,DTR,original,0.00334596633911,imput
677,DTR,original,0.00246787071228,imput
678,DTR,original,0.00227212905884,imput
679,DTR,original,0.00348114967346,imput
680,SVR,original,0.00447607040405,imput
681,RFR,original,0.306761980057,imput
682,DTR,original,0.00230193138123,imput
683,SVR,original,0.00179600715637,imput
684,RFR,original,0.299440860748,imput
685,DTR,original,0.00236701965332,imput
686,DTR,original,0.00344085693359,imput
687,SVR,original,0.00341296195984,imput
688,RFR,original,0.303811788559,imput
689,DTR,original,0.00475883483887,imput
690,SVR,original,0.00174117088318,imput
691,RFR,original,0.290176868439,imput
692,DTR,original,0.00152993202209,imput
693,DTR,original,0.00170087814331,imput
694,DTR,original,0.00357294082642,imput
695,DTR,original,0.00233197212219,imput
696,SVR,original,0.002525806427,imput
697,RFR,original,0.282402992249,imput
698,DTR,original,0.0035388469696,imput
699,SVR,original,0.00285387039185,imput
700,RFR,original,0.30026102066,imput
701,DTR,original,0.00246000289917,imput
702,DTR,original,0.0032069683075,imput
703,SVR,original,0.00410509109497,imput
704,RFR,original,0.296183109283,imput
705,DTR,original,0.00279808044434,imput
706,DTR,original,0.00335717201233,imput
707,SVR,original,0.00242900848389,imput
708,RFR,original,0.265616178513,imput
709,DTR,original,0.00220799446106,imput
710,DTR,original,0.00233793258667,imput
711,SVR,original,0.00156712532043,imput
712,RFR,original,0.314603090286,imput
713,DTR,original,0.00377798080444,imput
714,SVR,original,0.00239086151123,imput
715,RFR,original,0.307526111603,imput
716,DTR,original,0.00260901451111,imput
717,DTR,original,0.00531601905823,imput
718,DTR,original,0.00336694717407,imput
719,SVR,original,0.00339698791504,imput
720,RFR,original,0.302362918854,imput
721,DTR,original,0.00350689888,imput
722,SVR,original,0.00365614891052,imput
723,RFR,original,0.293684959412,imput
724,DTR,original,0.00222706794739,imput
725,DTR,original,0.00319981575012,imput
726,DTR,original,0.0024299621582,imput
727,DTR,original,0.00237107276917,imput
728,SVR,original,0.00270700454712,imput
729,RFR,original,0.298254966736,imput
730,DTR,original,0.00379514694214,imput
731,SVR,original,0.00424695014954,imput
732,RFR,original,0.304625034332,imput
733,DTR,original,0.0040910243988,imput
734,SVR,original,0.00285887718201,imput
735,RFR,original,0.305070161819,imput
736,DTR,original,0.00318598747253,imput
737,SVR,original,0.00316286087036,imput
738,RFR,original,0.295778989792,imput
739,DTR,original,0.00494408607483,imput
740,SVR,original,0.00326704978943,imput
741,RFR,original,0.296652078629,imput
742,DTR,original,0.00239992141724,imput
