,Estimator,Time,Best Params
151,DTR,3.33200001717,"{'splitter': 'random', 'max_depth': 2}"
152,SVR,3.97099995613,"{'C': 100, 'gamma': 0.001}"
153,RFR,11.5789999962,"{'n_estimators': 30, 'min_samples_split': 8, 'bootstrap': False, 'max_features': 'sqrt'}"
154,DTR,3.2460000515,"{'splitter': 'best', 'max_depth': 2}"
155,SVR,3.85100007057,"{'C': 1, 'gamma': 'auto'}"
156,RFR,10.7929999828,"{'n_estimators': 30, 'min_samples_split': 4, 'bootstrap': False, 'max_features': 'log2'}"
157,DTR,3.29699993134,"{'splitter': 'random', 'max_depth': 3}"
158,SVR,3.9240000248,"{'C': 100, 'gamma': 0.001}"
159,RFR,11.3480000496,"{'n_estimators': 40, 'min_samples_split': 4, 'bootstrap': False, 'max_features': 'sqrt'}"
160,DTR,3.21000003815,"{'splitter': 'best', 'max_depth': 9}"
161,SVR,3.75099992752,"{'C': 1, 'gamma': 'auto'}"
162,RFR,13.4769999981,"{'n_estimators': 20, 'min_samples_split': 8, 'bootstrap': False, 'max_features': 'log2'}"
163,DTR,3.32899999619,"{'splitter': 'random', 'max_depth': 8}"
164,SVR,3.99699997902,"{'C': 10, 'gamma': 'auto'}"
165,RFR,10.8629999161,"{'n_estimators': 20, 'min_samples_split': 8, 'bootstrap': False, 'max_features': 'log2'}"
166,DTR,3.22300004959,"{'splitter': 'best', 'max_depth': 4}"
167,DTR,3.27699995041,"{'splitter': 'random', 'max_depth': 8}"
168,SVR,3.9430000782,"{'C': 1000, 'gamma': 0.001}"
169,RFR,12.8159999847,"{'n_estimators': 30, 'min_samples_split': 2, 'bootstrap': False, 'max_features': 'sqrt'}"
170,DTR,3.28500008583,"{'splitter': 'random', 'max_depth': 3}"
171,DTR,3.12900018692,"{'splitter': 'random', 'max_depth': 10}"
172,SVR,3.90799999237,"{'C': 10, 'gamma': 'auto'}"
173,RFR,11.0649998188,"{'n_estimators': 30, 'min_samples_split': 2, 'bootstrap': False, 'max_features': 'sqrt'}"
174,DTR,3.23799991608,"{'splitter': 'best', 'max_depth': 8}"
175,DTR,3.23399996758,"{'splitter': 'best', 'max_depth': 9}"
176,DTR,3.29699993134,"{'splitter': 'best', 'max_depth': 6}"
177,SVR,4.15899991989,"{'C': 100, 'gamma': 0.001}"
178,RFR,11.9210000038,"{'n_estimators': 30, 'min_samples_split': 2, 'bootstrap': False, 'max_features': 'log2'}"
179,DTR,4.05599999428,"{'splitter': 'best', 'max_depth': 10}"
180,DTR,3.5649998188,"{'splitter': 'best', 'max_depth': 6}"
181,DTR,3.48399996758,"{'splitter': 'best', 'max_depth': 10}"
182,DTR,3.40899991989,"{'splitter': 'random', 'max_depth': 9}"
183,DTR,3.56599998474,"{'splitter': 'random', 'max_depth': 10}"
184,DTR,3.53800010681,"{'splitter': 'random', 'max_depth': 7}"
185,SVR,4.14699983597,"{'C': 1000, 'gamma': 'auto'}"
186,RFR,12.381000042,"{'n_estimators': 20, 'min_samples_split': 2, 'bootstrap': False, 'max_features': 'log2'}"
187,DTR,3.5,"{'splitter': 'best', 'max_depth': 6}"
188,SVR,4.07500004768,"{'C': 10, 'gamma': 0.001}"
189,RFR,12.5639998913,"{'n_estimators': 30, 'min_samples_split': 8, 'bootstrap': False, 'max_features': 'auto'}"
190,DTR,4.10700011253,"{'splitter': 'best', 'max_depth': 8}"
191,SVR,3.83800005913,"{'C': 100, 'gamma': 0.0001}"
192,DTR,3.17399978638,"{'splitter': 'random', 'max_depth': 4}"
193,SVR,3.90600013733,"{'C': 10, 'gamma': 0.001}"
194,RFR,12.1979999542,"{'n_estimators': 40, 'min_samples_split': 8, 'bootstrap': True, 'max_features': 'log2'}"
195,DTR,3.23399996758,"{'splitter': 'best', 'max_depth': 2}"
196,SVR,3.94000005722,"{'C': 1000, 'gamma': 0.0001}"
197,RFR,12.7400000095,"{'n_estimators': 10, 'min_samples_split': 8, 'bootstrap': True, 'max_features': 'auto'}"
198,DTR,3.31299996376,"{'splitter': 'best', 'max_depth': 9}"
199,SVR,3.83100008965,"{'C': 100, 'gamma': 'auto'}"
200,RFR,13.3429999352,"{'n_estimators': 30, 'min_samples_split': 2, 'bootstrap': False, 'max_features': 'log2'}"
